url,price,size,location,bedrooms,bathrooms,parking,scraped_at
https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/115913438,R 2 500 000,598 m²,Paarl Central,4,2,7,2025-05-14T14:20:27.231054
https://www.property24.com/for-sale/pearl-valley-golf-and-country-estate/paarl/western-cape/11772/112577583,R 11 950 000,574 m²,Pearl Valley Golf & Country Estate,3,4,4,2025-05-14T14:20:27.347025
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/115664423,R 3 350 000,197 m²,Klein Parys,3,2,2,2025-05-14T14:20:27.446753
https://www.property24.com/for-sale/dal-josafat/paarl/western-cape/8595/115856209,R 2 100 000,659 m²,Dal Josafat,3,2,3,2025-05-14T14:20:27.579556
https://www.property24.com/for-sale/new-orleans/paarl/western-cape/8609/115673360,R 2 350 000,262 m²,New Orleans,3,2,2,2025-05-14T14:20:27.695551
https://www.property24.com/for-sale/groenvlei/paarl/western-cape/8601/115845351,R 1 570 000,704 m²,Groenvlei,N/A,N/A,N/A,2025-05-14T14:20:27.729947
https://www.property24.com/for-sale/pearl-valley-golf-and-country-estate/paarl/western-cape/11772/115886256,R 37 500 000,1 100 m²,Pearl Valley Golf & Country Estate,5,5.5,7.5,2025-05-14T14:20:27.845514
https://www.property24.com/for-sale/pearl-valley-golf-and-country-estate/paarl/western-cape/11772/115771858,R 8 200 000,197 m²,Pearl Valley Golf & Country Estate,3,3.5,2,2025-05-14T14:20:27.930405
https://www.property24.com/for-sale/paarl-rural/paarl/western-cape/16578/115885879,R 7 500 000,126 000 m²,Paarl Rural,N/A,N/A,N/A,2025-05-14T14:20:27.982022
https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/115332529,R 1 250 000,87 m²,Paarl Central,1,1,1,2025-05-14T14:20:28.080339
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/115654710,R 4 895 000,382 m²,Klein Parys,4,3,2,2025-05-14T14:20:28.163366
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115680288,R 1 995 000,336 m²,Paarl North,N/A,N/A,N/A,2025-05-14T14:20:33.647200
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115681900,R 2 775 000,502 m²,Paarl North,N/A,N/A,N/A,2025-05-14T14:20:33.694099
https://www.property24.com/for-sale/buitenverwagting/paarl/western-cape/16388/115822054,R 10 000 000,1 107 m²,Buitenverwagting,4,3,2,2025-05-14T14:20:33.796042
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/113947139,R 2 950 000,369 m²,Paarl North,2,2,2,2025-05-14T14:20:33.895335
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115571504,R 7 250 000,433 m²,Paarl North,4,2.5,3,2025-05-14T14:20:34.011421
https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/115525946,R 23 500 000,928 m²,Val de Vie Estate,4,5,8,2025-05-14T14:20:34.095503
https://www.property24.com/for-sale/pearl-valley-golf-and-country-estate/paarl/western-cape/11772/110742352,R 12 800 000,3 127 m²,Pearl Valley Golf & Country Estate,N/A,N/A,N/A,2025-05-14T14:20:34.146129
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115681814,R 2 225 000,373 m²,Paarl North,N/A,N/A,N/A,2025-05-14T14:20:34.180206
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115680215,R 1 995 000,367 m²,Paarl North,N/A,N/A,N/A,2025-05-14T14:20:34.227357
https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/115834481,R 3 250 000,770 m²,Paarl South,3,2,5,2025-05-14T14:20:34.347265
https://www.property24.com/for-sale/kleine-parys-2/paarl/western-cape/25493/115114751,R 3 550 000,954 m²,Kleine Parys 2,N/A,N/A,N/A,2025-05-14T14:20:34.396062
https://www.property24.com/for-sale/lemoenkloof/paarl/western-cape/8607/115719389,R 2 050 000,155 m²,Lemoenkloof,3,2.5,1,2025-05-14T14:20:34.496132
https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/115822755,R 27 800 000,1 010 m²,Val de Vie Estate,4,4.5,6,2025-05-14T14:20:34.608480
https://www.property24.com/for-sale/simondium/paarl/western-cape/8649/115878154,R 12 999 999,500 m²,Simondium,N/A,N/A,N/A,2025-05-14T14:20:34.663785
https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/115887013,,,,,,,2025-05-14T14:20:34.764102
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115669050,R 2 275 000,373 m²,Paarl North,N/A,N/A,N/A,2025-05-14T14:20:34.828075
https://www.property24.com/for-sale/groenheuwel/paarl/western-cape/8600/115963733,POA,220 m²,Groenheuwel,3,2,2,2025-05-14T14:20:34.908392
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115668979,R 2 425 000,414 m²,Paarl North,N/A,N/A,N/A,2025-05-14T14:20:34.962822
https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/115751381,R 1 890 000,48 m²,Paarl South,1,1,1,2025-05-14T14:20:35.084951
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115668895,R 2 300 000,422 m²,Paarl North,N/A,N/A,N/A,2025-05-14T14:20:35.129375
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115668762,R 2 350 000,442 m²,Paarl North,N/A,N/A,N/A,2025-05-14T14:20:35.177979
https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/115840845,R 7 500 000,800 m²,Val de Vie Estate,N/A,N/A,N/A,2025-05-14T14:20:40.844085
https://www.property24.com/for-sale/charleston-hill/paarl/western-cape/8593/115593040,R 3 394 000,791 m²,Charleston Hill,5,2,2,2025-05-14T14:20:40.944203
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/115800982,,N/A,,,,,2025-05-14T14:20:41.029062
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/115887426,R 3 320 000,205 m²,Klein Parys,3,3.5,3,2025-05-14T14:20:41.161733
https://www.property24.com/for-sale/kleine-parys-1/paarl/western-cape/25492/115495839,R 5 395 000,731 m²,Kleine Parys 1,3,2,4,2025-05-14T14:20:41.278906
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/111387285,R 570 000,N/A,Klein Parys,0.5,1,1,2025-05-14T14:20:41.379142
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/115644133,R 2 650 000,197 m²,Klein Parys,2,2,2,2025-05-14T14:20:41.477281
https://www.property24.com/for-sale/lemoenkloof/paarl/western-cape/8607/115565064,R 2 600 000,676 m²,Lemoenkloof,3,1.5,1,2025-05-14T14:20:41.544268
https://www.property24.com/for-sale/paarl-rural/paarl/western-cape/16578/115821567,R 29 900 000,317 ha,Paarl Rural,N/A,N/A,N/A,2025-05-14T14:20:41.617791
https://www.property24.com/for-sale/charleston-hill/paarl/western-cape/8593/115874840,R 12 000 000,1 700 m²,Charleston Hill,N/A,N/A,N/A,2025-05-14T14:20:41.667753
https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/108599661,R 24 900 000,943 m²,Val de Vie Estate,5,4.5,3,2025-05-14T14:20:41.743344
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/115649295,R 620 000,31 m²,Klein Parys,1,1,1,2025-05-14T14:20:41.878868
https://www.property24.com/for-sale/esterville/paarl/western-cape/16386/115180312,R 5 000 000,290 m²,Esterville,N/A,N/A,N/A,2025-05-14T14:20:41.927185
https://www.property24.com/for-sale/boschenmeer-golf-and-country-estate/paarl/western-cape/10770/115816281,R 5 495 000,312 m²,Boschenmeer Golf & Country Estate,3,2,2,2025-05-14T14:20:41.993642
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115681987,R 3 175 000,587 m²,Paarl North,N/A,N/A,N/A,2025-05-14T14:20:42.043690
https://www.property24.com/for-sale/hoog-en-droog/paarl/western-cape/16385/115736111,R 10 995 000,2 201 m²,Hoog En Droog,5,5,8,2025-05-14T14:20:42.143752
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/115649620,R 864 000,48 m²,Klein Parys,2,1,1,2025-05-14T14:20:42.243768
